@T,table
Created,2016-04-08 18:34
Author,HortonMachine library
@H,timestamp,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42
ID,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994-01-01 00:00,0.5162516830069498,0.5160032509064367,0.42337384478492496,0.29317622611853383,0.2676630508078989,0.20514689270616351,0.28021885803688656,0.14702255444517542,0.11289952642766928,0.32824583322089257,0.32780036866039575,0.3272453320679606,0.319863674215326,0.1638648598454429,0.5159999323557339,0.4220038288034792,0.2814439032003429,0.3279712744706448,0.32707070207428457,0.3269425903179825,0.328124040550677,0.3813027176384897,0.28921230941838244,0.4499729563390036,0.29385640593724416,0.3295640437907926,0.3607700550809307,0.3448275928358835,0.3149500054362391,0.28202276187453595,0.1869984085362027,0.18656346397943865,0.18540560319060825,0.2814494338152553,0.32934520730012523,0.14060973585027495,0.32986858950369813,0.2772189090350212,0.18663750827080106,0.10975469266261424,0.23074347581036891,0.21973736252700163
,1994-01-01 01:00,0.795852895285143,0.7964997496333057,0.8911434198437901,1.1110242242596409,0.7308476922648588,0.879149434263294,0.6611028664007579,0.2839980061903324,0.21933075785864414,0.6082499305238115,0.6078754961746456,0.6070967174683154,0.6117148140030572,0.31859154634434317,0.7963502657321972,0.8895037846410282,1.1246888061779703,0.6086349267022261,0.6075157122879912,0.6092640448086586,1.0684238923587244,0.9979431852772671,1.119313076498399,0.9075282264796902,1.1192750040591286,1.2200025480035965,1.166592206611109,1.1968167982255549,1.2456392483935117,1.1249488704990211,0.8415823465364521,0.8440780100344627,0.8511884694864381,1.1260979044089579,1.219296005325409,0.9355424147411622,1.220411266818262,1.3023004791433226,0.8403561159935251,1.543610537342787,1.277859883574147,1.2980981008045118
,1994-01-01 02:00,1.9239013850913165,1.9249990511768142,2.2072374595552735,2.0622607991916873,1.7169992501995612,2.1375574168165996,1.6893837433537984,0.7455718427648758,0.5759124081440772,1.5945721565377682,1.5935585263320178,1.5915696367597023,1.5999423873432077,0.835341046890675,1.9247350287267375,2.205273588655964,2.0661160834761674,1.5952530781670413,1.5926335692319131,1.5963123442952878,2.044667924582698,2.01081632272634,2.0679848790670294,1.9687400582104786,2.0806858077361645,2.120479107035036,2.3353293393251544,2.2212686664464036,2.0929273914680033,2.0637765264612873,1.4538193787869909,1.4790251413105602,1.5584236034049184,2.067327323350073,2.115497055567542,1.5935909070662593,2.116602945331306,2.0466249360010766,1.4510307681077066,1.8266843737856862,2.1936087508773428,2.1680482196125657
,1994-01-01 03:00,1.352743058977182,1.3535332686710966,1.5462061090162853,1.5959122579487568,1.2071883149211642,1.4363998573645682,1.1954968190813084,0.5359502305393418,0.4129365875708316,1.1656059220437087,1.1649847630023218,1.1637192501894122,1.1641177662519833,0.600570925632492,1.3533475204048866,1.539279048959308,1.5871377125322286,1.1661603666180458,1.164438950380258,1.1671936522357977,1.6113859299965987,1.631741479670604,1.5959743134046598,1.6584560825140853,1.5961820731552891,1.6822238794346962,1.5727133078667395,1.6325546145807728,1.6879126768124417,1.5883830294428762,1.2116997331476649,1.2205223530668003,1.2454642413579438,1.5899085180369565,1.6821678791198913,1.1650561794098593,1.6834159661705417,1.689619255347697,1.208260248193851,1.6962001685929684,1.6404243246352297,1.64281355555596
,1994-01-01 04:00,3.460203390335635,3.460385633081879,3.507691084305256,3.1558777575625356,3.2365723207370616,3.22789211865307,2.867060774022058,2.1462219431887357,2.0188690423697433,2.8129850529392373,2.811247783316592,2.8085097894906736,2.8042445049418494,2.214156076076043,3.460245800081955,3.505310407985538,3.1374852117743925,2.8128600989994834,2.809279307375769,2.8126365690178434,3.203414902949008,3.275830771153917,3.1517198777866415,3.369027234472726,3.1981452947475417,3.15804267871556,3.985104430383742,3.5610503558173323,3.078345243517783,3.1465042575712285,2.444511197372036,2.471400466314036,2.5546818525533173,3.141806101152155,3.146488517321221,2.675430259014102,3.152143108872705,2.872860473776178,2.437116099075595,1.9362031860920879,3.073528023635358,2.990196808474718
,1994-01-01 05:00,3.2829705025226765,3.282809227953031,3.4623834826099147,3.5024175361928043,3.5083831466462017,3.4837522956706013,3.520988438425439,3.620546720922145,3.6398782567976355,3.5549317334073027,3.5527093725091117,3.548406510341864,3.5351985042857015,3.6117511098765687,3.2828079122426734,3.4644025786669546,3.2826794498636134,3.554955945076988,3.5517706066788466,3.5557830525149403,3.472223261087523,3.430248277022687,3.415806879243631,3.373747464747338,3.4187602493960023,3.420154307487487,3.4496309956617965,3.4494092898115043,3.454140197555438,3.5245000079817905,3.512188748059397,3.5108167015355325,3.499763016712797,3.515815286678503,3.420865944900374,3.513009462499917,3.426350878727094,3.461687770599553,3.503746346913959,3.4988158341282136,3.4496114081458398,3.455413139863318
,1994-01-01 06:00,1.9269255888981545,1.9267552176486789,1.8829432152168373,1.8870970176248967,2.377029218469114,2.6501583608727257,2.494915639514977,2.8847119187309564,2.981368088142582,2.418916253511514,2.417524312352019,2.414861835754157,2.415170829416729,2.837710145562607,1.9268136059493952,1.881680747211107,1.881734190258936,2.4188397714429692,2.416883498369519,2.419480411845915,1.8962927049198053,1.9134423705815211,1.8821521486351598,1.9342484170907361,1.8610510489598195,1.6485269398188185,1.3863962436184176,1.5336133544337924,1.6768376088055643,1.8924311559818894,2.4225293062995505,2.43063214250374,2.4545483924962412,1.884318703199702,1.6537868478908757,2.2438177891702122,1.6578978276704113,1.6751077605899958,2.4161684435089583,1.6816936204607955,1.854591133881444,1.849921962104346
